BMG_ID,Occupancy,Household Ownership,Landlord Type,Green Energy,Eco Type,Gas Supply,Smart Meter,Meter Reading Frequency,Primary Heating,EV,Property Type,Number of bedrooms,Main Heating System,Water Heating System,Appliances,Number of Appliances
956634798,2.0,Mortgage,Unknown,No,Unknown,Mains,No,Electricity bills,Gas boiler,No,Detached,4.0,Single house thermostat,Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Electric hob, Electric oven, Fridge-freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, Cooling fans, Vacuum cleaner, Bath, Shower, Hair drier",15
956634832,2.0,Mortgage,Unknown,No,No,Mains,No,Regularly,Gas boiler,No,Terraced,3.0,"Programmer/timer, Room thermostats",Gas or oil direct heating,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric hob, Electric oven, Fridge-freezer, Fridge, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Vacuum cleaner, Bath, Power shower, Hair drier",16
956634851,2.0,Mortgage,Unknown,Unknown,Unknown,Mains,No,Asked to by provider,Gas boiler,No,Detached,8.0,Room thermostats,Unknown,"Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric hob, Gas oven, Fridge-freezer, Fridge, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, Air conditioning unit, Cooling fans, Vacuum cleaner, Bath, Power shower",18
956634891,2.0,Own,Unknown,No,No,Mains,No,Asked to by provider,Gas boiler,No,Semi detached,3.0,Single house thermostat,Gas or oil direct heating,"Combined washing machine and tumble dryer, Dishwasher, Electric hob, Electric oven, Fridge-freezer, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, TV with a screen more than 21 inches, Vacuum cleaner, Shower, Hair drier",14
956635246,1.0,Other,Other,No,No,Mains,No,Asked to by provider,Gas boiler,No,Detached,4.0,"Programmer/timer, Single house thermostat, Thermostatic radiator valves","Gas, oil or solid fuel","Coffee-maker, Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, Games console, Vacuum cleaner, Bath, Power shower, Shower",16
956635360,2.0,Rent,Housing association,No,No,No,No,Regularly,Oil,No,Semi detached,3.0,Thermostatic radiator valves,Electric immersion heater,"Standalone washing machine, Electric hob, Electric oven, Fridge-freezer, Toaster, Kettle, Microwave, Games console, Mobile phones, PC/laptop, Handheld devices, Vacuum cleaner, Bath, Shower, Hair drier",15
956635362,2.0,Mortgage,Housing association,No,No,Mains,No,Electricity bills,Gas boiler,No,Terraced,3.0,"Programmer/timer, Single house thermostat",Gas or oil direct heating,"Standalone washing machine, Electric oven, Gas hob, Fridge-freezer, Standalone freezer, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Games console, PC/laptop, Handheld devices, Vacuum cleaner, Bath, Shower, Hair drier",16
956635490,2.0,Own,Unknown,Yes,No,LPG,No,Asked to by provider,Oil,No,Detached,6.0,"Programmer/timer, Thermostatic radiator valves","Gas, oil or solid fuel","Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Gas oven, Fridge-freezer, Fridge, Standalone freezer, Toaster, Kettle, Microwave, DVD player/Personal Video Recorder (PVR), Games console, Dehumidifier, Hair drier",16
956635530,2.0,Rent,Housing association,Unknown,No,Mains,No,Asked to by provider,Gas boiler,No,Semi detached,3.0,"Programmer/timer, Room thermostats, Thermostatic radiator valves",Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Electric oven, Gas hob, Fridge, Standalone freezer, Toaster, Kettle, Microwave, TV with a screen less than 21 inches, Plug in electric heater, Vacuum cleaner, Power shower, Shower",15
956635711,2.0,Rent,Housing association,No,No,Mains,No,Regularly,Gas boiler,No,Terraced,3.0,"Programmer/timer, Thermostatic radiator valves",Gas or oil direct heating,"Standalone tumble dryer, Standalone washing machine, Dishwasher, Gas hob, Gas oven, Fridge-freezer, Standalone freezer, Toaster, Kettle, Microwave, Games console, Bath, Power shower, Hair drier",14
