bmg_id,missing_days_2017,longest_missing_streak_2017,missing_days_2018,longest_missing_streak_2018
A3956660765,0,0,98,98
A4956627804,137,137,364,364
A4956628224,0,0,260,260
G3956630095,365,365,266,266
A1956615540,21,21,0,0
A1956628660,0,0,14,14
A1956639582,0,0,0,0
A2956663193,0,0,0,0
A4956645687,0,0,361,361
A1956628967,0,0,0,0
A1956645382,0,0,0,0
A2956612561,0,0,105,105
I3956624595,365,365,266,266
A2956622272,248,248,26,26
A2956622372,0,0,0,0
I3956618476,365,365,266,266
a3956650870,304,263,364,364
A1956661279,0,0,0,0
A2956627058,0,0,8,8
A3956614324,0,0,194,194
C3956639647,365,365,219,219
E3956635362,365,365,268,268
E4956622064,365,365,266,266
a2956642477,0,0,0,0
a3956659914,129,129,98,98
A1956639622,0,0,355,355
A1956652068,0,0,0,0
A2956635490,0,0,0,0
E4956639523,365,365,320,265
I3956642411,365,365,266,266
A2956612339,0,0,332,332
A3956660697,109,109,98,98
A3956661319,0,0,98,98
A4956616014,0,0,263,263
G4956646705,365,365,266,266
I3956645791,365,365,266,266
A1956631554,0,0,0,0
A1956662633,365,365,149,149
A2956614943,365,365,299,270
A4956629098,20,20,98,98
C3956631176,365,365,266,266
a2956639006,0,0,0,0
A1956620133,12,12,0,0
A3956645791,0,0,98,98
A4956628980,0,0,98,98
A1956619410,255,255,1,1
A2956611200,0,0,0,0
G4956613376,365,365,266,266
I3956627253,365,365,289,289
a3956641781,279,279,364,364
A1956628653,269,269,0,0
E4956629387,365,365,266,266
G4956616264,365,365,266,266
I3956614324,365,365,219,219
a2956660243,277,277,364,364
A1956634891,269,269,336,336
A2956613701,65,60,364,364
A2956646923,0,0,0,0
E3956660765,365,365,266,266
E4956621673,365,365,270,266
G4956631519,365,365,266,266
I3956615446,365,365,266,266
a4956616803,365,365,254,156
A1956611489,75,75,240,240
A1956628771,103,103,364,364
A2956632726,0,0,0,0
A3956631159,0,0,101,101
E3956650867,365,365,304,266
G3956623908,365,365,279,265
G4956636749,365,365,266,266
I3956631159,365,365,262,262
a1956643556,84,84,364,364
A2956612128,0,0,0,0
E3956659914,365,365,359,266
a2956652458,0,0,0,0
A1956636683,0,0,7,7
A2956651544,258,258,250,248
A4956618348,359,359,364,364
E4956623039,365,365,275,275
I3956623696,365,365,226,226
A1956630642,0,0,336,336
A2956622356,0,0,137,137
A4956659245,10,10,364,364
I3956625616,365,365,266,266
a4956641702,0,0,98,98
A2956611708,0,0,0,0
A2956618003,285,257,364,364
C4956633740,365,365,293,268
a4956612633,0,0,98,98
a4956625602,0,0,98,98
A3956610900,0,0,98,98
A4956613830,0,0,198,198
A4956622859,92,92,364,364
C4956611998,365,365,264,264
E3956611187,365,365,266,266
a2956639219,0,0,0,0
a4956632516,0,0,98,98
A2956613635,322,257,113,111
A2956639770,0,0,0,0
G4956628980,365,365,266,266
a2956661788,84,84,284,232
a4956610365,5,5,143,101
A2956627684,236,236,364,364
A3956638964,109,109,364,364
A4956611082,0,0,207,207
I3956619785,365,365,266,266
a2956649966,0,0,0,0
a4956662521,0,0,314,314
A1956611573,12,12,0,0
A1956621363,0,0,0,0
A2956625669,0,0,200,200
A4956635246,0,0,98,98
A4956640223,0,0,98,98
A4956662612,0,0,193,193
a3956661969,34,34,326,326
G3956612599,365,365,266,266
G4956639132,365,365,265,265
I3956649275,365,365,266,266
A1956639683,0,0,86,86
A2956636146,0,0,0,0
A3956621975,279,249,262,262
A3956629047,0,0,98,98
A4956625132,21,21,364,364
E4956610724,365,365,266,266
E4956619551,365,365,272,272
I3956663185,365,365,321,266
A1956645971,0,0,0,0
A3956618476,0,0,98,98
A1956612324,111,111,364,364
A1956630710,0,0,0,0
A2956660842,0,0,28,28
A3956640258,0,0,98,98
A3956646721,0,0,98,98
A4956614778,184,184,364,364
E4956615664,365,365,266,266
A3956610255,365,365,362,264
A3956619343,250,250,98,98
A4956629387,0,0,98,98
A4956634170,0,0,111,111
G3956636995,365,365,266,266
a4956616546,250,250,98,98
A1956634851,34,34,0,0
A2956624191,0,0,0,0
A3956621508,344,257,346,346
I3956661199,365,365,266,266
a1956613619,0,0,90,90
a2956659939,37,37,364,364
A1956616553,363,255,364,364
A4956636749,0,0,98,98
E4956663192,365,365,271,268
G4956660256,365,365,268,268
A1956635530,0,0,0,0
A2956638936,11,11,0,0
A3956631394,0,0,221,221
A4956619916,356,255,364,364
G4956659948,365,365,304,265
a3956635362,242,242,364,364
A1956633015,365,365,142,142
A2956623925,4,4,9,9
A2956651240,61,61,136,136
A3956611748,0,0,98,98
A2956660693,0,0,14,14
A4956633740,62,62,223,166
G4956616975,365,365,266,266
G4956630761,365,365,232,219
H4956610646,365,365,268,265
a2956660892,42,42,268,268
a3956659953,0,0,103,98
a4956659948,56,56,98,98
A2956619962,0,0,100,100
A3956615634,154,154,317,317
A3956618754,280,280,364,364
E4956618325,365,365,291,266
a3956620562,0,0,98,98
a4956659459,60,60,364,364
A1956627992,9,9,0,0
A2956616819,111,111,69,69
A2956618201,0,0,0,0
A2956620625,29,22,66,33
A2956626070,5,5,0,0
A4956622986,0,0,98,98
A4956629944,0,0,98,98
E4956634653,365,365,326,266
E4956640862,365,365,266,266
G4956625602,365,365,266,266
a1956628427,0,0,0,0
A1956612457,49,49,0,0
A1956633582,0,0,0,0
A3956649275,270,270,98,98
A4956623039,257,157,364,364
G4956636137,365,365,359,266
G4956641904,365,365,266,266
a2956648886,12,12,0,0
a3956630095,0,0,98,98
a3956661583,25,25,98,98
a4956646880,29,29,364,364
A1956611889,0,0,0,0
A1956627188,0,0,0,0
A2956640274,0,0,0,0
A3956629422,0,0,158,158
A3956636453,271,271,364,364
B4956610646,0,0,98,98
C3956611924,365,365,266,266
I3956614269,365,365,266,266
a4956610724,365,365,254,156
A1956623015,0,0,0,0
A1956634028,0,0,35,35
A2956627501,0,0,0,0
A2956638855,0,0,0,0
A2956644726,311,311,0,0
A4956624221,0,0,98,98
E4956612569,365,365,266,266
a1956610383,28,22,58,58
a3956661959,0,0,98,98
A1956612763,0,0,0,0
A1956646578,0,0,6,6
A2956660367,0,0,0,0
A4956612488,0,0,98,98
G4956622358,365,365,266,266
I3956640990,365,365,268,268
a4956626720,0,0,98,98
A2956610897,0,0,70,70
A2956615780,0,0,257,211
A2956659343,0,0,0,0
A3956663070,0,0,98,98
A4956629974,0,0,98,98
A1956627792,0,0,0,0
A1956633729,0,0,0,0
A1956652503,365,365,156,155
A1956659341,0,0,166,166
A1956660152,334,307,364,364
C4956616546,365,365,266,266
I3956659953,365,365,363,266
a1956643197,17,17,9,9
a3956629513,0,0,313,313
a3956638878,0,0,98,98
A1956625194,0,0,0,0
A2956614606,9,9,0,0
A2956616758,3,3,0,0
A2956628617,0,0,0,0
A2956662648,2,2,249,249
A3956632433,18,18,358,358
I3956611315,365,365,266,266
a4956650167,0,0,98,98
A1956620546,163,158,364,364
A1956621052,0,0,10,10
A2956628233,0,0,0,0
A2956629483,0,0,12,12
A2956634556,0,0,0,0
A2956642640,0,0,0,0
A2956647224,0,0,110,92
A4956618325,0,0,98,98
G4956633040,365,365,285,266
I3956628015,365,365,266,266
I4956648298,365,365,269,269
a3956629016,47,47,98,98
A1956630359,0,0,0,0
A2956614363,0,0,39,39
A2956646108,0,0,0,0
A2956647378,0,0,0,0
A3956621753,0,0,98,98
A3956623908,0,0,98,98
A3956634616,37,37,364,364
A3956659895,26,26,286,286
A4956612032,278,250,364,364
E3956621753,365,365,266,266
E4956640460,365,365,266,266
a2956662681,0,0,0,0
a3956619785,0,0,98,98
A1956636867,227,227,364,364
A2956615520,257,257,64,64
E4956629059,365,365,266,266
a2956633622,0,0,0,0
A1956617909,335,331,364,364
A1956627544,249,249,364,364
A1956632385,100,100,86,86
A4956621078,0,0,98,98
E3956646721,365,365,266,266
G4956620106,365,365,266,264
I3956615634,365,365,292,275
a4956637042,0,0,318,318
A2956626810,365,365,144,144
C4956644600,365,365,266,266
a3956624595,11,11,98,98
