,changepoint_prior_scale,seasonality_prior_scale,changepoint_range,mape
59,0.01544452104946379,10.0,0.95,0.2367033275817984
60,0.023853323044733008,0.01,0.8,0.2684570456372412
61,0.023853323044733008,0.01,0.875,0.268649280618902
62,0.023853323044733008,0.01,0.95,0.27140356228607726
63,0.023853323044733008,0.021544346900318832,0.8,0.24295068215350563
64,0.023853323044733008,0.021544346900318832,0.875,0.2405998271109905
65,0.023853323044733008,0.021544346900318832,0.95,0.2398066979184194
66,0.023853323044733008,0.046415888336127774,0.8,0.24315713596613506
67,0.023853323044733008,0.046415888336127774,0.875,0.23921319869386687
68,0.023853323044733008,0.046415888336127774,0.95,0.2414029800801346
69,0.023853323044733008,0.1,0.8,0.2429922318712327
70,0.023853323044733008,0.1,0.875,0.23958387288048583
71,0.023853323044733008,0.1,0.95,0.24505174017774004
72,0.023853323044733008,0.21544346900318834,0.8,0.2425533654187578
73,0.023853323044733008,0.21544346900318834,0.875,0.2429090772722981
74,0.023853323044733008,0.21544346900318834,0.95,0.24268600784806105
75,0.023853323044733008,0.46415888336127775,0.8,0.24516540477871748
76,0.023853323044733008,0.46415888336127775,0.875,0.24274641264215674
77,0.023853323044733008,0.46415888336127775,0.95,0.24185530615528308
78,0.023853323044733008,1.0,0.8,0.2414027524994234
79,0.023853323044733008,1.0,0.875,0.24152781551711625
80,0.023853323044733008,1.0,0.95,0.24101584011304547
81,0.023853323044733008,2.154434690031882,0.8,0.24057466048672885
82,0.023853323044733008,2.154434690031882,0.875,0.24272022028377785
83,0.023853323044733008,2.154434690031882,0.95,0.2413744126709023
84,0.023853323044733008,4.6415888336127775,0.8,0.24258026603013458
85,0.023853323044733008,4.6415888336127775,0.875,0.24291666329109282
86,0.023853323044733008,4.6415888336127775,0.95,0.24501577953736978
87,0.023853323044733008,10.0,0.8,0.2405422035602767
88,0.023853323044733008,10.0,0.875,0.24157333046796145
89,0.023853323044733008,10.0,0.95,0.24260706713576072
90,0.03684031498640387,0.01,0.8,0.2926641812972198
91,0.03684031498640387,0.01,0.875,0.2923197989594456
