,weekly,monthly,quarterly,yearly,mape,rmse
55,1,5,3,1,0.8177889756779609,0.9043168557966621
56,1,5,3,3,0.7675555935345997,0.8761025017283078
57,1,5,3,5,0.7595983268200429,0.871549382892354
58,1,5,3,7,0.7275103048693629,0.8529421462616107
59,1,5,3,10,0.7578660452521617,0.8705550213812805
60,1,5,5,1,0.8510517226430159,0.9225246460897486
61,1,5,5,3,0.7989741145972922,0.8938535196536914
62,1,5,5,5,0.7928277353360578,0.8904087462149379
63,1,5,5,7,0.7506942481267361,0.8664261354130173
64,1,5,5,10,0.7865985035015461,0.8869038862816794
65,1,5,7,1,0.8337799868270361,0.9131155385968613
66,1,5,7,3,0.7830531189643796,0.8849028867420309
67,1,5,7,5,0.7761759334355919,0.8810084752348254
68,1,5,7,7,0.7412615859784419,0.8609654963925337
69,1,5,7,10,0.7724002066612398,0.8788630192818673
70,1,5,10,1,0.8089560160975031,0.8994198219394006
71,1,5,10,3,0.7619610328844438,0.8729037936018171
72,1,5,10,5,0.7539053988382906,0.8682772591967906
73,1,5,10,7,0.719290199178307,0.8481097801454167
74,1,5,10,10,0.7517969260062519,0.8670622388307843
75,1,7,1,1,0.8372442882585955,0.915010539971314
76,1,7,1,3,0.7876940211217097,0.8875212792500863
77,1,7,1,5,0.7796482272464237,0.8829769120687265
78,1,7,1,7,0.7232973616473666,0.8504689069256833
79,1,7,1,10,0.7630622709701892,0.8735343559186377
80,1,7,3,1,0.8194053674178625,0.9052101233514032
81,1,7,3,3,0.7644477568895576,0.8743270308583383
82,1,7,3,5,0.7560451834604025,0.8695085873413801
83,1,7,3,7,0.7179999309151128,0.8473487658072754
84,1,7,3,10,0.7512130291472754,0.8667254635392198
85,1,7,5,1,0.8594124506226591,0.9270450100306129
86,1,7,5,3,0.7957577770012535,0.892052564034908
87,1,7,5,5,0.788968674722905,0.8882390864642835
88,1,7,5,7,0.7475649549424533,0.8646183868866387
89,1,7,5,10,0.7826013089177705,0.8846475619803462
90,1,7,7,1,0.8295456238099236,0.9107939524447467
91,1,7,7,3,0.778853787423949,0.8825269329736906
92,1,7,7,5,0.7707002058510362,0.8778953273887703
93,1,7,7,7,0.7370480977799039,0.8585150539040675
94,1,7,7,10,0.7686725606950545,0.876739733726637
95,1,7,10,1,0.8095642800023185,0.8997579007723792
96,1,7,10,3,0.7596402288209091,0.8715734213598468
97,1,7,10,5,0.7504431622533652,0.8662812258460674
98,1,7,10,7,0.7159679481348926,0.846148892414859
99,1,7,10,10,0.7517071853300457,0.8670104874394805
100,1,10,1,1,0.8295150796923327,0.9107771844377376
101,1,10,1,3,0.7825043612987739,0.8845927657960887
102,1,10,1,5,0.7741296845423468,0.8798463982663944
103,1,10,1,7,0.7183630546592258,0.8475630092560823
104,1,10,1,10,0.7576464225510416,0.8704288727696489
105,1,10,3,1,0.8168200846096624,0.9037809937200839
106,1,10,3,3,0.7583972785194287,0.8708600797599053
107,1,10,3,5,0.7498501458376987,0.8659388811213519
108,1,10,3,7,0.7126098233353402,0.8441622020295271
109,1,10,3,10,0.7458240785031959,0.8636110690022424
110,1,10,5,1,0.8429542155959528,0.9181253811958108
111,1,10,5,3,0.7904150717281389,0.8890529071591515
112,1,10,5,5,0.7825924976133027,0.884642581844952
113,1,10,5,7,0.7459744886879421,0.863698146743376
114,1,10,5,10,0.7780118699854707,0.8820498115103651
115,1,10,7,1,0.8210527497208572,0.906119611155645
116,1,10,7,3,0.7737330094446851,0.8796209464563046
117,1,10,7,5,0.7655588495848811,0.8749621989462637
118,1,10,7,7,0.7296652934670548,0.854204479891703
119,1,10,7,10,0.7639421380709488,0.8740378356060731
120,1,10,10,1,0.8064298287944118,0.8980143811734932
121,1,10,10,3,0.7528962218826607,0.8676959270865922
122,1,10,10,5,0.745651867804478,0.8635113593951604
123,1,10,10,7,0.7090832429404107,0.8420708063698745
124,1,10,10,10,0.7411820618945565,0.8609193120696947
125,3,1,1,1,0.7103382276396991,0.8428156546005177
126,3,1,1,3,0.6475138459947509,0.8046824504080793
127,3,1,1,5,0.6408700471261694,0.80054359476931
128,3,1,1,7,0.5871980715839799,0.7662885041444768
129,3,1,1,10,0.6367614849602833,0.7979733610593046
130,3,1,3,1,0.6945595627910628,0.8334024014790591
131,3,1,3,3,0.6213386315691811,0.7882503609699022
132,3,1,3,5,0.6196390686555334,0.7871715624027162
133,3,1,3,7,0.5896776069193765,0.7679046860902573
134,3,1,3,10,0.6270551545115667,0.7918681421244111
135,3,1,5,1,0.7231011346958268,0.8503535351227904
136,3,1,5,3,0.6552228395390892,0.8094583618315949
137,3,1,5,5,0.649375406505114,0.8058383252893313
138,3,1,5,7,0.615368328633055,0.7844541596760483
139,3,1,5,10,0.6520834758302937,0.8075168579232843
140,3,1,7,1,0.7205550067322133,0.8488551152771675
141,3,1,7,3,0.6607020074367694,0.8128357813462505
142,3,1,7,5,0.652475575717486,0.8077596026773597
143,3,1,7,7,0.6282649204513797,0.7926316423480579
144,3,1,7,10,0.6639153656217557,0.8148100181157296
145,3,1,10,1,0.718093967245576,0.8474042525533938
146,3,1,10,3,0.6556692296355751,0.8097340487070894
147,3,1,10,5,0.6463547591028278,0.8039619139628617
148,3,1,10,7,0.6152750476982005,0.7843947014725434
149,3,1,10,10,0.6525125779153371,0.8077825065667968
150,3,3,1,1,0.727620812713366,0.8530069241884065
