,changepoint_prior_scale,seasonality_prior_scale,changepoint_range,mape,rmse
62,0.07071067811865475,0.31622776601683794,0.875,0.07879074828337485,1.0802611089832668
63,0.07071067811865475,0.31622776601683794,0.9125,0.07932270443783092,1.0859753311738873
64,0.07071067811865475,0.31622776601683794,0.95,0.07837326652735561,1.0746434660918773
65,0.07071067811865475,1.7782794100389228,0.8,0.07789114972152614,1.0720738219575254
66,0.07071067811865475,1.7782794100389228,0.8375,0.07898657427353335,1.0818845292281556
67,0.07071067811865475,1.7782794100389228,0.875,0.07892300388626944,1.0790661751516115
68,0.07071067811865475,1.7782794100389228,0.9125,0.07990495830623934,1.0867031572738304
69,0.07071067811865475,1.7782794100389228,0.95,0.0797854431943025,1.086043905035485
70,0.07071067811865475,10.0,0.8,0.0786518483814209,1.0770319359159901
71,0.07071067811865475,10.0,0.8375,0.07966370075661958,1.086081939522107
72,0.07071067811865475,10.0,0.875,0.07881753947118476,1.0750858779786463
73,0.07071067811865475,10.0,0.9125,0.07897658576217623,1.079454745417721
74,0.07071067811865475,10.0,0.95,0.07913575480081769,1.0776484493250347
75,0.18803015465431966,0.01,0.8,0.11675290999829283,1.4292380326136922
76,0.18803015465431966,0.01,0.8375,0.11296278922817952,1.3915355097697029
77,0.18803015465431966,0.01,0.875,0.1124959895275757,1.3856589059827435
78,0.18803015465431966,0.01,0.9125,0.10769447919162835,1.3317264394896269
79,0.18803015465431966,0.01,0.95,0.1083186435986292,1.3367269915780884
80,0.18803015465431966,0.05623413251903491,0.8,0.0864069373850495,1.1543470423471387
81,0.18803015465431966,0.05623413251903491,0.8375,0.0866672745536502,1.1532440936523338
82,0.18803015465431966,0.05623413251903491,0.875,0.08630401189925944,1.1613873861608583
83,0.18803015465431966,0.05623413251903491,0.9125,0.08756165803556941,1.1815222010160382
84,0.18803015465431966,0.05623413251903491,0.95,0.08843937748148467,1.1955670516971624
85,0.18803015465431966,0.31622776601683794,0.8,0.08648738904744326,1.156840038234591
86,0.18803015465431966,0.31622776601683794,0.8375,0.08664161863584355,1.1607719198005413
87,0.18803015465431966,0.31622776601683794,0.875,0.0862163664234967,1.1584264644105395
88,0.18803015465431966,0.31622776601683794,0.9125,0.08754551925211251,1.1917355880646672
89,0.18803015465431966,0.31622776601683794,0.95,0.08957864962306185,1.2213981646040264
90,0.18803015465431966,1.7782794100389228,0.8,0.08490236216649881,1.1344904691581172
91,0.18803015465431966,1.7782794100389228,0.8375,0.08552567922826114,1.1409346209858404
92,0.18803015465431966,1.7782794100389228,0.875,0.08583969021789369,1.1557279219571508
93,0.18803015465431966,1.7782794100389228,0.9125,0.08838315800630148,1.2035851056418039
94,0.18803015465431966,1.7782794100389228,0.95,0.08883346964356602,1.2067796021802202
95,0.18803015465431966,10.0,0.8,0.08629807354843727,1.1533897848593786
96,0.18803015465431966,10.0,0.8375,0.08584456189910596,1.1459638751524082
97,0.18803015465431966,10.0,0.875,0.08593611161185988,1.1558745089949432
98,0.18803015465431966,10.0,0.9125,0.08862202517225323,1.2089497355900627
99,0.18803015465431966,10.0,0.95,0.08864599189970693,1.206933510268297
100,0.5,0.01,0.8,0.11276069706007667,1.381763225356009
101,0.5,0.01,0.8375,0.10680887158693754,1.3062853384278847
102,0.5,0.01,0.875,0.1054355888429935,1.289513825187033
103,0.5,0.01,0.9125,0.1025852929836528,1.2954484048856352
104,0.5,0.01,0.95,0.10146314879357111,1.299147894430335
105,0.5,0.05623413251903491,0.8,0.08584476508287958,1.1511509542925726
106,0.5,0.05623413251903491,0.8375,0.08631425054182239,1.1723942684244766
107,0.5,0.05623413251903491,0.875,0.08901217430766438,1.202083502264221
108,0.5,0.05623413251903491,0.9125,0.08960081966326156,1.2487242761819828
109,0.5,0.05623413251903491,0.95,0.09143379726018201,1.298885988516099
110,0.5,0.31622776601683794,0.8,0.08390046921728274,1.1606472375826795
111,0.5,0.31622776601683794,0.8375,0.08663253419850735,1.1846318411046552
112,0.5,0.31622776601683794,0.875,0.08970017209538449,1.2475643750497563
113,0.5,0.31622776601683794,0.9125,0.09195787403114061,1.298116718566428
114,0.5,0.31622776601683794,0.95,0.09511652171337519,1.3843722117906108
115,0.5,1.7782794100389228,0.8,0.0838549181744831,1.164425302353227
116,0.5,1.7782794100389228,0.8375,0.0858486769673921,1.1765143734411192
