ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-08-01,0.6791326023373512,8.09570062487892,9.355478587267408,0.6789320276636595,0.6793375639051298,-0.006520002099755328,-0.007107213988906702,-0.005909244726257185,-0.0009499805173808082,-0.0011815522574887987,-0.0007123117408193087,-0.005570021582374519,-0.006093767047154036,-0.005035870653902483,0.0,0.0,0.0,8.668033087591589
2018-08-02,0.6791281455780925,8.051150863476206,9.229782149813776,0.678926053604431,0.6793339228446554,-0.006890511292258816,-0.0074665072996302805,-0.006273908387807225,-0.0013043375801923514,-0.0015631301581971217,-0.0010570316357852638,-0.0055861737120664655,-0.006113229240050294,-0.005032831988800025,0.0,0.0,0.0,8.599354842434993
2018-08-03,0.6791236888188338,8.044018930349559,9.242985879811705,0.6789207261198178,0.6793304163998983,-0.006934001014804665,-0.007501518091746648,-0.006351788196247665,-0.0013238410452190727,-0.0015669055003216643,-0.0010781499776646966,-0.0056101599695855915,-0.006129615193704765,-0.00503601923359614,0.0,0.0,0.0,8.590667645518815
2018-08-04,0.6791192320595751,8.595942390734635,10.025655880158183,0.6789153061794642,0.6793290335409641,-0.0037299319262219326,-0.004286248025501036,-0.003129035169202407,0.0019106633265045395,0.0016638180473606675,0.002164362823205833,-0.005640595252726472,-0.006170610830995349,-0.0050555457395321,0.0,0.0,0.0,9.221304175209209
2018-08-05,0.6791147753003165,8.894198454328524,10.407774869110208,0.6789072428449273,0.6793288079685795,-0.0023266658205100023,-0.002958695941935257,-0.001681077447766362,0.0033492217503421646,0.0031017859311987654,0.003583594926516731,-0.005675887570852167,-0.006209340027873685,-0.005097114052588348,0.0,0.0,0.0,9.534054827578778
2018-08-06,0.6791103185410577,8.245283279417302,9.539273424381342,0.6788987589784249,0.6793273633584941,-0.005546697485747259,-0.006185815845556627,-0.0048507120338749906,0.0001675782947170401,-9.486376064522872e-05,0.0004191897107418116,-0.0057142757804643,-0.006259104513357129,-0.005122841442614381,0.0,0.0,0.0,8.848331162760708
2018-08-07,0.679105861781799,7.921168669907661,9.12407312553652,0.6788905017136915,0.6793260353148485,-0.007603175341453012,-0.008214818229155948,-0.006960626104368836,-0.001849304228771432,-0.002085708992384446,-0.0016057809370568147,-0.005753871112681579,-0.006312750164866921,-0.005156027123199509,0.0,0.0,0.0,8.468479937852978
2018-08-08,0.6791014050225403,8.023788994237588,9.277491131971527,0.6788818994730278,0.679321042303575,-0.006742682017758598,-0.007362762092554992,-0.006093312918854071,-0.0009499805173802507,-0.0011815522574882965,-0.000712311740818805,-0.005792701500378348,-0.006352406319104068,-0.005204633127134577,0.0,0.0,0.0,8.62138918631369
2018-08-09,0.6790969482632817,8.002803714696814,9.2243692066101,0.6788738980008384,0.6793187976654362,-0.007133095234939173,-0.007797867542003872,-0.006453050090565227,-0.0013043375801931464,-0.001563130158198082,-0.0010570316357861977,-0.005828757654746026,-0.006390464610807277,-0.005233598139443014,0.0,0.0,0.0,8.550033197424366
2018-08-10,0.6790924915040231,7.99942969162834,9.219125510402225,0.6788661010835311,0.679315970275205,-0.007183880854126778,-0.0077993725011971955,-0.0065378319363890445,-0.0013238410452177584,-0.0015669055003202498,-0.001078149977663458,-0.0058600398089090205,-0.006435391215371435,-0.005252636583323955,0.0,0.0,0.0,8.540164004928826
2018-08-11,0.6790880347447643,8.534816164658768,9.911298333719563,0.6788610191386708,0.6793123534033497,-0.003973940713920035,-0.004581461021195307,-0.0033417303948986322,0.0019106633264999258,0.0016638180473562115,0.002164362823201048,-0.00588460404041996,-0.006458261171173745,-0.00525890495125478,0.0,0.0,0.0,9.162654907352806
2018-08-12,0.6790835779855056,8.792834038069877,10.356601265014598,0.6788524551439437,0.679312823770781,-0.0025513853545387146,-0.003184455588028615,-0.001901046300328402,0.003349221750343892,0.0031017859312000304,0.0035835949265185735,-0.0059006071048826065,-0.006476718017547117,-0.005268435064844448,0.0,0.0,0.0,9.474926061852878
2018-08-13,0.6790791212262469,8.22210907336249,9.521349623286941,0.6788448836453549,0.6793111683532467,-0.0057387704640306115,-0.006404398326984947,-0.005080516274601096,0.0001675782947142981,-9.486376064792082e-05,0.00041918971073902583,-0.00590634875874491,-0.006482105471456431,-0.00527678974171529,0.0,0.0,0.0,8.805191244418817
2018-08-14,0.6790746644669883,7.895428606913462,9.081248513129951,0.6788375160406424,0.6793118755328937,-0.007749614847841838,-0.008377006989240444,-0.007089892666786589,-0.0018493042287714126,-0.002085708992384472,-0.0016057809370568048,-0.005900310619070424,-0.00646833922715591,-0.0052779982112008145,0.0,0.0,0.0,8.43756502127888
2018-08-15,0.6790702077077295,8.054712683978552,9.269744709467332,0.6788312676800149,0.67931142237171,-0.006831171217180707,-0.007461135454699099,-0.006158772791055967,-0.0009499805173796933,-0.0011815522574877939,-0.0007123117408183015,-0.005881190699801014,-0.006443997034910699,-0.005261807116473719,0.0,0.0,0.0,8.599609220918474
