ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,quarterly,quarterly_lower,quarterly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
2017-02-15,10.046677117559382,9.456376449623898,12.134595486093634,9.913263059719968,10.181606606434126,0.7647837170550946,0.5436566402470487,0.9865972260047685,-0.06049133500369979,-0.12955235730388387,0.009375191644882493,-0.0612111725623788,-0.5348145104619421,0.41148344091340866,-0.29280686756631513,-0.3923565312708428,-0.19223096858670957,1.1792930921874882,0.6822626680640925,1.6757083827128072,0.0,0.0,0.0,10.811460834614476,9.175
2017-02-16,10.047921503983924,9.318756504042721,12.04889848468745,9.915193543630016,10.182167353882168,0.6623190817818542,0.44480806689243446,0.8891935901519351,-0.05757122299225202,-0.12711151220220449,0.012009521790023243,-0.06648884178545612,-0.5414004709857897,0.4078072803634557,-0.39015801601219996,-0.4901811938594818,-0.29023785794248136,1.1765371625717624,0.6822127944033491,1.6758295078719363,0.0,0.0,0.0,10.710240585765778,7.499
2017-02-17,10.04916589040846,9.364141607258414,12.043064185508115,9.917518406298106,10.182632310580338,0.6381436039594403,0.41808602087750046,0.8650398850235103,-0.05221650284401576,-0.12133169885114095,0.017722907566821704,-0.07128561522086121,-0.5526165492423856,0.4053501968482264,-0.41232389278707016,-0.512068382869887,-0.3137080710993076,1.1739696148113874,0.6784441389326599,1.6756203491078536,0.0,0.0,0.0,10.6873094943679,6.816
2017-02-18,10.05048925276516,10.34011584329479,13.047166042157626,9.919705328692633,10.182877939561216,1.6204584066822667,1.4023920884763947,1.8406524881443245,-0.04465361833707221,-0.11534209933818663,0.025202213256333747,-0.07545153711747028,-0.5574038860546944,0.4043046852633683,0.5691253093647425,0.46884551044075673,0.6687098034750351,1.1714382527720666,0.6755305647192937,1.674034856015804,0.0,0.0,0.0,11.670947659447428,7.137
2017-02-19,10.05181261512186,10.780448080818056,13.464494672620129,9.921688862755099,10.183095847527767,2.0868967861994756,1.8644912809998717,2.3089264462167365,-0.03520239349464873,-0.10543834073210467,0.03460677213996196,-0.07884518958196779,-0.5606181027164671,0.40167010498862893,1.0321527817980762,0.9329699706467263,1.1315346584017656,1.1687915874780155,0.6702695427370011,1.672715722466259,0.0,0.0,0.0,12.138709401321336,9.125
2017-02-20,10.053135977478558,9.834287047894945,12.532647106308552,9.923588605271773,10.183586609354746,1.125093435129357,0.8989248510033463,1.3542800012824616,-0.024262507665284077,-0.09454934733276692,0.04562130378300195,-0.08133666672157049,-0.5627578006503379,0.4015687319711544,0.0648122917314827,-0.036702699321753615,0.16536714774794098,1.1658803177847288,0.6634025331985619,1.6705823391859143,0.0,0.0,0.0,11.178229412607914,10.005
2017-02-21,10.054459339835258,9.201272020206625,11.909078888695948,9.92578674628816,10.184155405867367,0.49665022260578945,0.26940577097180896,0.726211366588993,-0.012296593631039378,-0.08225788325898525,0.057719131948608504,-0.08281034555002698,-0.5690298008023206,0.3989290185588031,-0.5708016065289816,-0.6692908851368395,-0.47017001428140026,1.162558768315837,0.6606624987745878,1.6648806786527137,0.0,0.0,0.0,10.551109562441047,8.498
2017-02-22,10.055782702191957,9.518358439756287,12.192307797460789,9.927979698457126,10.184836132655597,0.7829013300090625,0.5585347796204917,1.0101546241179917,0.0001893264991560875,-0.07044555232471858,0.07025821034543099,-0.08316739971520262,-0.5705968854343972,0.4044933328589699,-0.2928068675666347,-0.392356531271226,-0.1922309685872582,1.1586862707917436,0.6555051058759293,1.6635820881365861,0.0,0.0,0.0,10.83868403220102,2.556
2017-02-23,10.057106064548657,9.397653850618699,12.089686263177796,9.93008072534878,10.185646198654489,0.694309692922211,0.4709399201828993,0.9256199770733795,0.012667240271142839,-0.058277658942934595,0.0838114748656841,-0.0823280069129666,-0.5703703300345914,0.4008575682442814,-0.3901580160117706,-0.49018119385896447,-0.290237857941953,1.1541284755758054,0.6531771487869975,1.6579362640675017,0.0,0.0,0.0,10.751415757470868,2.196
2017-02-24,10.058429426905356,9.388926684196443,12.088833060637366,9.932289641318805,10.18590056994142,0.6808109555127838,0.4596926353417712,0.9055768507403184,0.024609473808597657,-0.04632573144605434,0.09602303745247634,-0.08023320659681245,-0.5686240618922376,0.39970604658155384,-0.41232389278668435,-0.5120683828695167,-0.313708071098956,1.148758581087683,0.6481101470256732,1.6527093053715103,0.0,0.0,0.0,10.73924038241814,2.177
2017-02-25,10.059752789262056,10.358468213892186,13.117138694648704,9.93465301149643,10.186369396592351,1.6702484142961824,1.4493716586415086,1.8934029453355696,0.03551100641833626,-0.034963824392024834,0.10619626450550913,-0.07684637116623591,-0.5638819113139812,0.404513053297603,0.5691253093633165,0.46884551043924166,0.6687098034736672,1.1424584696807658,0.6418788326481562,1.6474608157519395,0.0,0.0,0.0,11.730001203558238,2.243
