ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,y_median,y_median_lower,y_median_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2017-01-19,2.7230621574551104,8.17090238035119,14.207791156228303,2.5713040366420077,2.889341670317169,0.24866258494238286,0.08329215489109805,0.4097593995193545,0.1983919569424899,0.06830826855164226,0.3271140576180848,0.029529174313385056,-0.0054578510527107695,0.06316502641697665,0.12269030006918617,0.06081979969839459,0.18640828980137178,0.1983919569424899,0.06830826855164226,0.3271140576180848,-0.10194884638267827,-0.3576245270754552,0.12422705000300555,0.0,0.0,0.0,10.810819651279836
2017-01-20,2.723919099882226,8.717361669720406,14.786119644432754,2.5738824604176096,2.8858114560487134,0.3325472003503612,0.16370815945679051,0.49206602601828114,0.18780439880477753,0.0646628699391036,0.3096570036322802,0.04110876565577062,0.00544940156764377,0.07591132454802599,0.20727635014544762,0.14685290174545462,0.26903984511389023,0.18780439880477753,0.0646628699391036,0.3096570036322802,-0.1036423142556346,-0.3525461937340869,0.11770545500611575,0.0,0.0,0.0,11.421422723103133
2017-01-21,2.724776042309341,8.521249173524472,14.287462154156096,2.5771130923469014,2.8843226237959216,0.2855457469298716,0.1275932019872968,0.4391714679029183,0.4233998359302433,0.14578065634902823,0.6981131718264255,0.04783496446832556,0.011692161001776965,0.08379072531431318,-0.08034502606183641,-0.1672488257810865,0.00330775103491308,0.4233998359302433,0.14578065634902823,0.6981131718264255,-0.10534402740686082,-0.35012343647741756,0.11256560155398168,0.0,0.0,0.0,11.085519931851788
2017-01-22,2.7256329847364564,8.156561384098898,14.035408418540559,2.57974964924856,2.8817362507378794,0.25258228689310364,0.09065339074618317,0.4132735938950621,0.5363606556218936,0.18467415851629432,0.8843660454341595,0.047028147898131575,0.01203282788124812,0.08374004865654923,-0.2238237505029195,-0.36663521632057,-0.08073862106055357,0.5363606556218936,0.18467415851629432,0.8843660454341595,-0.106982766124002,-0.3467767539460879,0.10398653103210957,0.0,0.0,0.0,10.856618962978992
2017-01-23,2.726489927163571,7.940572646964079,13.661327456957471,2.5831798437441633,2.879118138909905,0.1799055747233388,0.019801641241049557,0.33215148729678134,0.27035297917712386,0.09308514412568078,0.4457653494158667,0.037900422129168776,0.003431631613627561,0.073983702495172,-0.019858358307243872,-0.052495888639436196,0.012747750457234685,0.27035297917712386,0.09308514412568078,0.4457653494158667,-0.10848946827571,-0.3477165167042801,0.09819610689320755,0.0,0.0,0.0,10.358593124308154
2017-01-24,2.727346869590687,7.345584505942397,12.659171927487126,2.5868797055537343,2.876773347496894,0.0696480370861236,-0.08838288140106851,0.2169412200875442,0.12174330765845774,0.04191739767106492,0.20073367877282033,0.021902004140902192,-0.011098814962065278,0.057144810535128265,0.03580146518324483,-0.0469810376546179,0.12211995088720108,0.12174330765845774,0.04191739767106492,0.20073367877282033,-0.10979873989648115,-0.3474257929276376,0.09507853780265507,0.0,0.0,0.0,9.636083931639385
2017-01-25,2.728203812017802,7.076891008445728,12.301205046776172,2.5887312037566894,2.8732795744540285,0.026677254098148487,-0.13621493754148326,0.17053059788326147,0.17691701869037696,0.060914239721731094,0.2917055950119983,0.002351528625226358,-0.030989996392051484,0.038145640108578675,-0.04174098052613691,-0.0895953690725864,0.010264008245260272,0.17691701869037696,0.060914239721731094,0.2917055950119983,-0.11085031269131793,-0.346766393331157,0.0923521762040139,0.0,0.0,0.0,9.369217123892879
2017-01-26,2.7291120192852065,7.73778850478741,13.198842793990641,2.591275036986745,2.871393693331851,0.1416247255998821,-0.017087110067092254,0.2875734234897941,0.14705913558480688,0.05063388194417235,0.24247510479922846,-0.01653429058878938,-0.048807712065936815,0.01617906781929056,0.12269030006888887,0.06081979969807481,0.18640828980100876,0.14705913558480688,0.05063388194417235,0.24247510479922846,-0.11159041946502425,-0.34730402136416977,0.0928807465322235,0.0,0.0,0.0,10.118375522892542
2017-01-27,2.7300202265526115,7.807131872984665,13.648173462469838,2.593318567093131,2.8684010404502978,0.20526288901339865,0.046018381079540226,0.3497272958684391,0.14084782950208594,0.048495269217659745,0.2322337342964126,-0.030888231713599203,-0.06422419970950381,0.004382966826815158,0.20727635014561685,0.1468529017455944,0.26903984511412415,0.14084782950208594,0.048495269217659745,0.2322337342964126,-0.11197305892070494,-0.34899186630503926,0.0941643818982096,0.0,0.0,0.0,10.556607650941464
2017-01-28,2.7309284338200164,7.726173473466941,13.259754394226242,2.5981148586265452,2.867286479898017,0.1424224328725055,-0.012238548136328095,0.2781144131133799,0.3730285647968593,0.12843734077870908,0.6150596491848884,-0.03829998358960144,-0.07406640375372793,-0.002873191200916876,-0.08034502606207806,-0.1672488257814108,0.00330775103477416,0.3730285647968593,0.12843734077870908,0.6150596491848884,-0.11196112227267435,-0.3462813134537239,0.09041881877826267,0.0,0.0,0.0,10.135829064397802
2017-01-29,2.7318366410874213,7.572715844212178,12.87416566786042,2.6024335377877197,2.866934177307174,0.11323997110072644,-0.04753043432385838,0.26170368257018994,0.487010495936018,0.16768242148803153,0.80299615913566,-0.038419418627563165,-0.07384436094347573,-0.002584861219313419,-0.22382375050285674,-0.36663521632048895,-0.08073862106051635,0.487010495936018,0.16768242148803153,0.80299615913566,-0.11152735570487164,-0.3444187638956343,0.09153520045794518,0.0,0.0,0.0,9.948356653656939
2017-01-30,2.7327448483548262,7.323940646202822,12.791447230542818,2.606531211633704,2.8650601028278424,0.06976016762165672,-0.08880449787140351,0.2245511148585609,0.2331461456354433,0.08027447167358076,0.38441770973071604,-0.03287248481461886,-0.06924204486706537,0.0026597687663021913,-0.019858358307091217,-0.05249588863931642,0.01274775045721367,0.2331461456354433,0.08027447167358076,0.38441770973071604,-0.11065513489207654,-0.3455767225083431,0.0918989366175193,0.0,0.0,0.0,9.67145678416705
2017-01-31,2.733653055622231,6.892611628917637,11.927098142405093,2.6093154862474677,2.8644482056054965,-0.0063839168877058905,-0.1659956788911917,0.14301646810081714,0.09170234175410781,0.03157400271609749,0.15120131665903233,-0.024548693242875588,-0.05993497684008577,0.010656244099913482,0.03580146518317922,-0.046981037654675026,0.12211995088708931,0.09170234175410781,0.03157400271609749,0.15120131665903233,-0.10933903058211732,-0.3386225635565617,0.09183314306293903,0.0,0.0,0.0,9.197558933687876
2017-02-01,2.7345612628896356,6.968604637510627,11.806672455295859,2.6112656810263237,2.8643864378964685,-0.01659147283304891,-0.1725384065534969,0.12652096046837097,0.1492698975106086,0.05139506864578437,0.24612026922585994,-0.01653524221627724,-0.05279540065241248,0.02081446465338314,-0.04174098052616987,-0.08959536907266956,0.01026400824530413,0.1492698975106086,0.05139506864578437,0.24612026922585994,-0.10758514760121038,-0.3327454437412692,0.09589469792561268,0.0,0.0,0.0,9.14033064745277
2017-02-02,2.7354694701570406,7.610519857318412,13.101043163168647,2.613158243226909,2.8630648755828094,0.1294503714743501,-0.026937169080762758,0.27659289440189033,0.12325681366576484,0.042438512419842894,0.20322918866601167,-0.011085518707257363,-0.048117796368196734,0.02687656308214257,0.1226903000690584,0.06081979969825715,0.18640828980121577,0.12325681366576484,0.042438512419842894,0.20322918866601167,-0.10541122355321576,-0.3276888673219346,0.09279685613720624,0.0,0.0,0.0,10.07962659993298
