,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,quarterly,quarterly_lower,quarterly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
35,2019-02-04,10.043227292334189,9.999366704032685,12.776867033316574,9.826009934805066,10.249711160711671,1.3636577918231905,1.1324748266787243,1.5982401710134264,0.05052180894492725,-0.019471128276149722,0.12017641558027936,-0.013451993257501862,-0.4706872761938063,0.4577528760896539,0.064812291731387,-0.036702699321848484,0.16536714774783862,1.2617756844043782,0.7658208156102638,1.7352157366803604,0.0,0.0,0.0,11.406885084157379
36,2019-02-05,10.041477255957535,9.371402728341081,12.123345930183726,9.823587361172063,10.248919277885538,0.7050543129155095,0.47310959991814144,0.938523491476552,0.04245347712350669,-0.0273574803682491,0.11323965908282854,-0.014790123301753562,-0.4712474285231161,0.45458305536886506,-0.570801606528982,-0.6692908851368392,-0.4701700142814025,1.2481925656227384,0.7517999191932614,1.7258669270952387,0.0,0.0,0.0,10.746531568873044
37,2019-02-06,10.03972721958088,9.62601637433632,12.39439128545999,9.82083269223743,10.248312660458074,0.9588941980257905,0.73352766065673,1.1916836194292728,0.03258984592391566,-0.03747218063720636,0.10262261338897821,-0.016985594358193107,-0.475242104243435,0.45420411711992337,-0.29280686756661417,-0.39235653127120146,-0.19223096858722297,1.2360968140266821,0.7410982022971232,1.7127818730163946,0.0,0.0,0.0,10.998621417606671
38,2019-02-07,10.037977183204227,9.502969159236347,12.25532298756486,9.818157348221865,10.247383458685821,0.8366243150494233,0.612337431100833,1.0693129200046128,0.02134803479448583,-0.04910486100971707,0.09159753543529345,-0.01998929667706649,-0.4818247207375284,0.45234553966678936,-0.39015801601179817,-0.4901811938589978,-0.290237857941987,1.225423592943802,0.7329393699699598,1.7014577645601143,0.0,0.0,0.0,10.87460149825365
39,2019-02-08,10.036227146827574,9.472242172240506,12.195666247003144,9.815114928333747,10.246715864563388,0.789241979341386,0.5705623150198539,1.014615419211653,0.009203444524448328,-0.06058391011373296,0.07928578630246602,-0.02373146174896634,-0.48372368792487813,0.4511899077553783,-0.4123238927866409,-0.5120683828694752,-0.3137080710989163,1.2160938893525448,0.7201776246073043,1.695377717788841,0.0,0.0,0.0,10.82546912616896
40,2019-02-09,10.03447711045092,10.418020931248563,13.149204924798852,9.812347644387417,10.24575936141161,1.7456874154122641,1.519918645709328,1.9744620064016685,-0.0033303468040280825,-0.07357888672417634,0.06728423253902809,-0.028123044483686216,-0.48618511571849454,0.45298120472498,0.5691253093656474,0.46884551044171796,0.668709803475903,1.2080154973343313,0.7069054519899545,1.6900367389398212,0.0,0.0,0.0,11.780164525863185
41,2019-02-10,10.032727074074268,10.865497011107744,13.581274583984678,9.809887210451643,10.244916005115979,2.184456098981509,1.9614077493225914,2.415898851332156,-0.015723302329345525,-0.0871088862570496,0.055249673357520804,-0.033057495482047346,-0.49439902409412867,0.443242043247508,1.03215278179776,0.9329699706463611,1.1315346584015298,1.2010841149951417,0.7038183041172779,1.6860071406083221,0.0,0.0,0.0,12.217183173055776
42,2019-02-11,10.030977037697614,9.836500507942912,12.622484407848015,9.807194212600372,10.244133092448177,1.1941326044956742,0.9654583971768813,1.4280366742199568,-0.027451340943105147,-0.09829044709651817,0.043394911890988236,-0.038412889434010715,-0.503631790520252,0.4344116748977674,0.06481229173287512,-0.03670269932037319,0.16536714774943037,1.195184543139915,0.7005336368442105,1.6816607315723457,0.0,0.0,0.0,11.225109642193289
43,2019-02-12,10.029227001320962,9.219168009467397,11.95651783486208,9.804608808702946,10.243811109713102,0.5373174977466045,0.3103814873204862,0.7696074550455317,-0.03801849996195268,-0.10814039627486284,0.03221583670026766,-0.044054368815978386,-0.5098869137059908,0.4295623586146674,-0.5708016065289752,-0.6692908851368463,-0.4701700142813686,1.1901919730535109,0.6967747118562331,1.6796557184077672,0.0,0.0,0.0,10.566544499067566
44,2019-02-13,10.027476964944308,9.444757169222886,12.241320421441262,9.801631273081766,10.24283670956188,0.7963517176939607,0.5746438818583429,1.0219161204706395,-0.046977908709986284,-0.11795370982296062,0.023510382223430153,-0.049836855975980476,-0.5159607988158224,0.4202110522372626,-0.2928068675664319,-0.3923565312709828,-0.19223096858691008,1.1859733499463594,0.6900970377897744,1.6788535344184696,0.0,0.0,0.0,10.823828682638268
